Unnamed: 0,HSN_code,name_of_commodity,chapter_no,sch,gst
1815,2811.29.00,"Other inorganic oxygen compounds of non-
metals",28.0,IV,18%
1816,2812.00.00,Halides and halide oxides of non-metals .,28.0,IV,18%
1817,2812.10.00,Chlorides and chloride oxides,28.0,IV,18%
1818,2812.10.10,Phosgene,28.0,IV,18%
1819,2812.10.20,Phosphorus trichloride,28.0,IV,18%
1820,2812.10.30,Phosphorus oxychloride,28.0,IV,18%
1821,2812.10.40,"Sulphur oxychloride, thionyl chloride",28.0,IV,18%
1822,2812.10.50,Silicon Tetrachloride,28.0,IV,18%
1823,2812.10.90,Halides & halide oxides of nonmetalszz: Other,28.0,IV,18%
1824,2812.90.00,Other halides and halide oxides of non-metals,28.0,IV,18%
1825,2813.00.00,"Sulphides of non-metals; commercial
phosphorus trisulphide",28.0,IV,18%
1826,2813.10.00,Carbon disulfide,28.0,IV,18%
1827,2813.90.00,"Other sulfides of non-metals, commercial
phosphorous trisulfide",28.0,IV,18%
1828,2813.90.10,Arsenic disulphide (artificial),28.0,IV,18%
1829,2813.90.20,Commercial phosphorus trisulphide,28.0,IV,18%
1830,,,,,
1831,2814.00.00,"Ammonia, anhydrous or in aqueous solution",28.0,IV,18%
1832,2814.10.00,Anhydrous ammonia,28.0,IV,18%
1833,2814.20.00,Ammonia in aqueous solution,28.0,IV,18%
1834,2815.00.00,"Sodium hydroxide (caustic soda); potassium
hydroxide (caustic potash); peroxides of
sodium or potassium.",28.0,IV,18%
1835,2815.11.00,Solid sodium hydroxide (caustic soda),28.0,IV,18%
1836,2815.12.00,"Sodium hydroxide (in aqueous solution; soda
lye or liquid soda)",28.0,IV,18%
1837,2815.20.00,Potassium hydroxide (caustic potash),28.0,IV,18%
1838,2815.30.00,Peroxides of sodium or potassium,28.0,IV,18%
1839,2816.00.00,"Hydroxide and peroxide of magnesium;
oxides, hydroxides and peroxides, of
strontium or barium.",28.0,IV,18%
1840,2816.10.00,Hydroxide and peroxide of magnesium,28.0,IV,18%
1841,2816.10.10,Magnesium Hydroxide,28.0,IV,18%
1842,2816.10.20,Magnesium peroxide,28.0,IV,18%
1843,2816.20.00,"Oxide, hydroxide and peroxide of strontium",28.0,IV,18%
1844,2816.30.00,"Oxide, hydroxide and peroxide of barium",28.0,IV,18%
1845,2817.00.00,Zinc oxide and zinc peroxide,28.0,IV,18%
1846,2818.00.00,"Artificial corundum, whether or not chemically
defined; aluminium oxide; aluminium
hydroxide.",28.0,IV,18%
1847,2818.10.00,"Artificial corundum, whether or not chemically
defined",28.0,IV,18%
1848,2818.20.00,Other aluminium oxide,28.0,IV,18%
1849,2818.20.10,Calcined alumina,28.0,IV,18%
1850,2818.30.00,Alumina hydrate,28.0,IV,18%
1851,2818.30.00,Aluminium hydroxide,28.0,IV,18%
1852,2818.30.00,Specially alumina hydrate,28.0,IV,18%
1853,2819.00.00,Chromium oxides and hydroxides,28.0,IV,18%
1854,2819.10.00,Chromium trioxide,28.0,IV,18%
1855,2819.90.00,Other chromium oxides and hydroxides,28.0,IV,18%
1856,2820.00.00,Manganese oxides,28.0,IV,18%
1857,2820.10.00,Manganese dioxide,28.0,IV,18%
1858,2820.90.00,Other manganese oxides,28.0,IV,18%
1859,2821.00.00,"Iron oxides and hydroxides; earth colours
containing 70% or more by weight of
combined iron evaluated as Fe2O3",28.0,IV,18%
1860,2821.10.00,Iron oxides and hydroxides,28.0,IV,18%
1861,2821.10.20,Iron hydroxide,28.0,IV,18%
1862,2821.20.00,Earth color,28.0,IV,18%
1863,2822.00.00,"Cobalt oxides and hydroxides, commercial
cobalt oxides",28.0,IV,18%
1864,2822.00.10,Cobalt oxides,28.0,IV,18%
1865,,,,,
1866,2822.00.20,Cobalt hydroxides,28.0,IV,18%
1867,2823.00.00,Titanium oxides,28.0,IV,18%
1868,2823.00.10,Titanium dioxides,28.0,IV,18%
1869,2823.00.90,Titanium oxides: Other,28.0,IV,18%
1870,2824.00.00,"Lead oxides, red lead and orange lead",28.0,IV,18%
1871,2824.10.00,"Lead monoxide (litharge, massicot)",28.0,IV,18%
1872,2824.20.00,"Red lead, orange lead",28.0,IV,18%
1873,2824.90.00,Other lead oxides,28.0,IV,18%
1874,2825.00.00,"Hydrazine & hydroxylamine and their
inorganic salts, other inorganic bases; other
metal oxides, hydroxides and peroxides",28.0,IV,18%
1875,2825.10.00,"Hydrazine, hydroxylamine, their inorganic salts",28.0,IV,18%
1876,2825.10.10,"Hydrazine , anhydrous",28.0,IV,18%
1877,2825.10.20,Hydrazine hydrate,28.0,IV,18%
1878,2825.10.30,Hydrazine sulphate,28.0,IV,18%
1879,2825.10.40,Hydroxylamine sulphate,28.0,IV,18%
1880,2825.10.90,"Hydrazine, hydroxylamine, their inorganic
salts: Other",28.0,IV,18%
1881,2825.20.00,Lithium oxide and hydrox,28.0,IV,18%
1882,2825.30.00,Vanadium oxides and hydroxides,28.0,IV,18%
1883,2825.40.00,Nickel oxides and hydroxides,28.0,IV,18%
1884,2825.50.00,Copper oxides and hydroxides,28.0,IV,18%
1885,2825.60.00,Germanium oxides and zirconium dioxide,28.0,IV,18%
1886,2825.60.10,Germanium oxides,28.0,IV,18%
1887,2825.60.20,Zirconium dioxide,28.0,IV,18%
1888,2825.70.00,Molybdenum oxides and hydroxides,28.0,IV,18%
1889,2825.80.00,Antimony oxides,28.0,IV,18%
1890,2825.90.00,"Other inorganic bases, metal oxides,
hydroxides, peroxides",28.0,IV,18%
1891,2825.90.10,Tin oxides,28.0,IV,18%
1892,2825.90.20,Cadmium oxides,28.0,IV,18%
1893,2825.90.30,Mercury oxides {Mercuric oxide),28.0,IV,18%
1894,2825.90.40,Calcium hydroxide,28.0,IV,18%
1895,2825.90.50,Ammonium hydroxide,28.0,IV,18%
1896,2825.90.90,"Other inorganic bases, metal oxides,
hydroxides, peroxides: Other",28.0,IV,18%
1897,2826.00.00,"Fluorides; fluorosilicates, fluoroaluminates and
other complex fluorine salts",28.0,IV,18%
1898,2826.11.00,Fluorides of ammonium or of sodium,28.0,IV,18%
1899,2826.11.10,Ammonium flourides,28.0,IV,18%
1900,2826.11.20,Sodium flourides,28.0,IV,18%
1901,2826.12.00,Aluminium flourides,28.0,IV,18%
1902,2826.12.00,Fluorides of aluminium,28.0,IV,18%
1903,2826.19.00,Other fluorides,28.0,IV,18%
1904,,,,,
1905,2826.19.10,Megnesium flourides,28.0,IV,18%
1906,2826.20.00,Fluorosilicates of sodium or of potassium,28.0,IV,18%
1907,2826.20.10,Flourosilicates of sodium,28.0,IV,18%
1908,2826.20.20,Flourosilicates of potassium,28.0,IV,18%
1909,2826.30.00,"Sodium hexafluoroaluminate (synthetic
cryolite)",28.0,IV,18%
1910,2826.90.00,"Other complex fluorine salts, fluorosilicates,
fluoroaluminates",28.0,IV,18%
1911,2827.00.00,"Chlorides, chloride oxides and chloride
hydroxides; bromides and bromide oxides;
iodides and iodide oxides.",28.0,IV,18%
1912,2827.10.00,Ammonium chloride,28.0,IV,18%
1913,2827.20.00,Calcium chloride,28.0,IV,18%
1914,2827.31.00,Chlorides of magnesium,28.0,IV,18%
1915,2827.32.00,Chlorides of aluminium,28.0,IV,18%
1916,2827.33.00,Chlorides of iron,28.0,IV,18%
1917,2827.34.00,Chlorides of cobalt,28.0,IV,18%
1918,2827.35.00,Chlorides of nickel,28.0,IV,18%
1919,2827.36.00,Chlorides of zinc,28.0,IV,18%
1920,2827.37.00,Chlorides of tin,28.0,IV,18%
1921,2827.38.00,Chlorides of barium,28.0,IV,18%
1922,2827.39.00,Other chlorides,28.0,IV,18%
1923,2827.39.10,Mercuric chloride,28.0,IV,18%
1924,2827.39.20,Mercurous chloride,28.0,IV,18%
1925,2827.39.30,Strontium chloride,28.0,IV,18%
1926,2827.39.40,Cuprous chloride,28.0,IV,18%
1927,2827.41.00,"Chloride oxides and chloride hydroxides of
copper",28.0,IV,18%
1928,2827.41.10,Copper oxychloride,28.0,IV,18%
1929,2827.41.90,"Chloride oxides and chloride hydroxides of
copper: Other",28.0,IV,18%
1930,2827.49.00,Other chloride oxides and chloride hydroxides,28.0,IV,18%
1931,2827.51.00,Bromides of sodium or of potassium,28.0,IV,18%
1932,2827.59.00,Other bromide of sodium or of potassium,28.0,IV,18%
1933,2827.60.00,Iodides and iodide oxides,28.0,IV,18%
1934,2828.00.00,"Hypochlorites; commercial calcium
hypochlorites; chlorites; hypobromites.",28.0,IV,18%
1935,2828.10.00,"Commercial calcium hypochlorite, other
calcium hypochlorites",28.0,IV,18%
1936,2828.10.10,Bleaching Powder,28.0,IV,18%
1937,2828.90.00,"Hypochlorites, chlorites, hypobromites",28.0,IV,18%
1938,2828.90.11,"Bleaching powder of all varieties and
discriptions",28.0,IV,18%
1939,2829.00.00,"Chlorates and perchlorates; bromates and
perbromates; iodates and periodates.",28.0,IV,18%
1940,,,,,
1941,2829.11.00,Chlorates of sodium,28.0,IV,18%
1942,2829.19.00,Other chlorates,28.0,IV,18%
1943,2829.19.10,Barium chlorate,28.0,IV,18%
1944,2829.19.20,Potassium chlorate,28.0,IV,18%
1945,2829.19.30,Megnesium chlorate,28.0,IV,18%
1946,2829.19.90,Other chlorates,28.0,IV,18%
1947,2829.90.00,"Perchlorates, bromates.perbromates,
iodates.periodates",28.0,IV,18%
1948,2829.90.10,Perchlorates,28.0,IV,18%
1949,2829.90.20,Bromates.perbromates,28.0,IV,18%
1950,2830.00.00,"Sulphides; polysulphides, whether or not
chemically defined",28.0,IV,18%
1951,2830.10.00,Sodium sulphides,28.0,IV,18%
1952,2830.20.00,Zinc sulphide,28.0,IV,18%
1953,2830.30.00,Cadmium sulfide,28.0,IV,18%
1954,2830.90.00,"Other sulfides, polysulphides",28.0,IV,18%
1955,2830.90.10,Other sulfides,28.0,IV,18%
1956,2830.90.20,Polysulphides,28.0,IV,18%
1957,2831.00.00,Dithionites and sulphoxylates,28.0,IV,18%
1958,2831.10.00,Dithionites and sulpjoxylates of sodium,28.0,IV,18%
1959,2831.10.10,Sodium Dithionites,28.0,IV,18%
1960,2831.10.20,Sodium sulfoxylates,28.0,IV,18%
1961,2831.90.00,"Other dithionites, sulphoxylates",28.0,IV,18%
1962,2831.90.10,Other dithionites,28.0,IV,18%
1963,2831.90.20,Other sulfoxylates,28.0,IV,18%
1964,2832.00.00,"Sulfites, thiosulphates",28.0,IV,18%
1965,2832.10.00,Other sulphites,28.0,IV,18%
1966,2832.10.10,Sodium bi-sulphite,28.0,IV,18%
1967,2832.10.20,Sodium hydrosulphite,28.0,IV,18%
1968,2832.10.90,Other sodium sulphites,28.0,IV,18%
1969,2832.20.00,Other sulphites,28.0,IV,18%
1970,2832.20.10,Potassium metabisulphite,28.0,IV,18%
1971,2832.20.20,Megnesium sulphite,28.0,IV,18%
1972,2832.30.00,Thiosulphates,28.0,IV,18%
1973,2832.30.10,Sodium thiosulphate,28.0,IV,18%
1974,2832.30.20,Megnesium thiosulphate,28.0,IV,18%
1975,2832.30.90,Other thiosulphate,28.0,IV,18%
1976,2833.00.00,"Sulphates, alums, peroxosulphates (per
sulphates)",28.0,IV,18%
1977,2833.11.00,Disodium sulfate,28.0,IV,18%
1978,2833.19.00,Other sodium sulfates,28.0,IV,18%
1979,2833.21.00,Sulfates of magnesium,28.0,IV,18%
1980,2833.22.00,Sulfates of aluminium,28.0,IV,18%
1981,2833.23.00,Sulfates of chromium,28.0,IV,18%
1982,2833.24.00,Sulfates of nickel,28.0,IV,18%
1983,2833.25.00,Sulfates of copper,28.0,IV,18%
1984,,,,,
1985,2833.26.00,Sulfates of zinc,28.0,IV,18%
1986,2833.27.00,Sulfates of barium,28.0,IV,18%
1987,2833.29.00,Other sulfates,28.0,IV,18%
1988,2833.30.00,Alums,28.0,IV,18%
1989,2833.40.00,Peroxosulfates (persulfates),28.0,IV,18%
1990,2834.00.00,"Nitrites, nitrates",28.0,IV,18%
1991,2834.10.00,Nitrites,28.0,IV,18%
1992,2834.10.10,Sodium nitrite,28.0,IV,18%
1993,2834.10.90,Other nitrites,28.0,IV,18%
1994,2834.21.00,Nitrates of potassium,28.0,IV,18%
1995,2834.22.00,Nitrates of bismuth,28.0,IV,18%
1996,2834.29.00,Other nitrates,28.0,IV,18%
1997,2834.29.10,Strontium nitrate,28.0,IV,18%
1998,2834.29.20,Magnesium nitrate,28.0,IV,18%
1999,2834.29.30,Barium nitrate,28.0,IV,18%
2000,2834.29.40,Calucium nitrate,28.0,IV,18%
2001,2834.29.90,Thorium nitrate,28.0,IV,18%
2002,2835.00.00,"Phosphinates (hypophosphites), phosphonates
(phosphites) and phosphates;
polyphosphates, whether or not chemically
defined.",28.0,IV,18%
2003,2835.10.00,"Phosphinates (hypophosphites), phosphonates
(phosphites)",28.0,IV,18%
2004,2835.10.10,Calucium hypohposphite,28.0,IV,18%
2005,2835.10.20,Magnesium hypohposphite,28.0,IV,18%
2006,2835.21.00,Phosphates of triammonium,28.0,IV,18%
2007,2835.22.00,Phosphates of mono-sodium or of disodium,28.0,IV,18%
2008,2835.23.00,Phosphates of trisodium,28.0,IV,18%
2009,2835.24.00,Phosphates of potassium,28.0,IV,18%
2010,2835.25.00,"Calcium hydrogenorthophosphate (dicalcium
phosphate",28.0,IV,18%
2011,2835.26.00,Calcium hydrogenorthophosphate,28.0,IV,18%
2012,2835.29.00,Other phosphates of,28.0,IV,18%
2013,2835.31.0,Sodium triphosphate (sodium tripolyphosphate,28.0,IV,18%
2014,2835.39.00,Other polyphosphates,28.0,IV,18%
2015,2836.00.00,"Carbonates; peroxocarbonates
(percarbonates); commercial ammonium
carbonate containing ammonium carbamate.",28.0,IV,18%
2016,2836.10.00,"Commercial ammonium carbonate, other
ammonium carbonates",28.0,IV,18%
2017,2836.20.00,Disodium carbonate,28.0,IV,18%
2018,2836.20.10,Di sodium carbonate dense (soda ash),28.0,IV,18%
2019,2836.20.20,Di sodium carbonate light (soda ash),28.0,IV,18%
2020,,,,,
2021,2836.20.90,Other di sodium carbonate (soda ash),28.0,IV,18%
2022,2836.30.00,"Sodium hydrogencarbonate (sodium
bicarbonate)",28.0,IV,18%
2023,2836.40.00,Potassium carbonates,28.0,IV,18%
2024,2836.50.00,Calcium carbonate,28.0,IV,18%
2025,2836.60.00,Barium carbonate,28.0,IV,18%
2026,2836.70.00,Lead carbonate,28.0,IV,18%
2027,2836.91.00,Lithium carbonates,28.0,IV,18%
2028,2836.92.00,Strontium carbonate,28.0,IV,18%
2029,2836.93.00,Bismuth carbonate,28.0,IV,18%
2030,2836.99.00,"Other carbonates, peroxocarbonates
(percarbonates)",28.0,IV,18%
2031,2836.99.10,Percarbonates,28.0,IV,18%
2032,2836.99.20,Magnesium carbonate,28.0,IV,18%
2033,2836.99.30,Aluminium bicarbonate,28.0,IV,18%
2034,2837.00.00,"Cyanides, cyanide oxides and complex
cyanides",28.0,IV,18%
2035,2837.11.00,Cyanides and cyanide oxides of sodium,28.0,IV,18%
2036,2837.19.00,"Other cyanides, cyanide oxides",28.0,IV,18%
2037,2837.19.10,Potassium cyanide,28.0,IV,18%
2038,2837.19.20,Double cyanide of Potassium and sodium,28.0,IV,18%
2039,2837.20.00,Complex cyanides,28.0,IV,18%
2040,2837.20.10,Ammonium sulphocyanide,28.0,IV,18%
2041,2837.20.20,Potassium ferricyanide,28.0,IV,18%
2042,2837.20.30,Potassium ferrocyanide,28.0,IV,18%
2043,2837.20.40,Sodium ferrocyanide,28.0,IV,18%
2044,2837.20.50,Sodium nitrophruside,28.0,IV,18%
2045,2837.20.90,Other complex cyanides,28.0,IV,18%
2046,2838.00.00,----,28.0,---,---
2047,2839.00.00,"Silicates; commercial alkali metal silicates - of
sodium",28.0,IV,18%
2048,2839.11.00,Sodium metasilicates,28.0,IV,18%
2049,2839.19.00,"Silicates of sodium (other than sodium
metasilicates)",28.0,IV,18%
2050,2839.20.00,Silicates of potassium,28.0,IV,18%
2051,2839.90.00,"Other silicates, commercial alkali metal
silicates",28.0,IV,18%
2052,2839.90.10,Magnesium trisilicate,28.0,IV,18%
2053,2839.90.90,"Silicates, commercial alkali metal silicates:
Other",28.0,IV,18%
2054,2839.90.99,Zeolite-A N,28.0,IV,18%
2055,2840.00.00,"Borates; peroxoborates (perborates) -
disodium tetraborate (refined borax)",28.0,IV,18%
2056,2840.11.00,Anhydrous,28.0,IV,18%
2057,2840.19.00,Other disodium tetraborate (refined borax),28.0,IV,18%
2058,,,,,
2059,2840.20.00,Other borates,28.0,IV,18%
2060,2840.20.10,Magnesium borates,28.0,IV,18%
2061,2840.30.00,Peroxoborates (perborates),28.0,IV,18%
2062,2841.00.00,Salts of oxometallic or peroxometallic acids,28.0,IV,18%
2063,2841.10.00,Aluminates,28.0,IV,18%
2064,2841.20.00,Chromates of zinc or of lead,28.0,IV,18%
2065,2841.30.00,Sodium dichromate,28.0,IV,18%
2066,2841.40.00,Potassium dichromate,28.0,IV,18%
2067,2841.50.00,"Other chromates and dichromates,
peroxochromates",28.0,IV,18%
2068,2841.50.90,Potassium dichromate,28.0,IV,18%
2069,2841.60.00,"Manganites, manganates and permanganates",28.0,IV,18%
2070,2841.70.00,Molybdates,28.0,IV,18%
2071,2841.80.00,Tungstates (wolframates),28.0,IV,18%
2072,2841.90.00,"Other salts of oxometallic or peroxometallic
acids",28.0,IV,18%
2073,2842.00.00,"Other salts of inorganic acids or peroxoacids,
(including aluminosilicates, whether or not
chemically defined), other than azides.",28.0,IV,18%
2074,2842.10.00,Double or complex silicates,28.0,IV,18%
2075,2842.90.00,"Other salts of inorganic acids or peroxoacids
(excluding azides)",28.0,IV,18%
2076,2843.00.00,"Colloidal precious metals; inorganic or organic
compounds of precious metals, whether or
not chemically defined; amalgams of precious
metals.",28.0,IV,18%
2077,2843.10.00,Colloidal precious metals,28.0,IV,18%
2078,2843.21.00,Silver nitrate,28.0,IV,18%
2079,2843.29.00,Other silver compounds,28.0,IV,18%
2080,2843.30.00,Gold compounds,28.0,IV,18%
2081,2843.90.00,"Other compounds of precious metals,
amalgams",28.0,IV,18%
2082,2844.00.00,"Radioactive chemical elements and radioactive
isotopes (including the fissile or fertile
chemical elements and isotopes) and their
compounds; mixtures and residues containing
these products.",28.0,IV,18%
2083,2844.10.00,"Natural uranium, its compounds; alloys,
dispersions, ceramic products and mixtures",28.0,IV,18%
2084,2844.20.00,"Enriched uranium; plutonium; alloys,
dispersions, ceramic products, mixtures",28.0,IV,18%
2085,,,,,
2086,2844.30.00,"Depleted uranium, thorium, their compounds;
alloys, dispersions, ceramic products and
mixtures",28.0,IV,18%
2087,2844.40.00,"Radioactive elements and isotopes and
compounds; alloys, dispersion; ceramic
products and mixtures; radioactive residues",28.0,IV,18%
2088,2844.50.00,"Spent fuel elements (cartridges) of nuclear
reactors",28.0,IV,18%
2089,2845.00.00,Heavy water and other nuclear fules,28.0,II,5%
2090,2846.00.00,"Compounds, inorganic or organic, of rare-
earth metals, of yttrium or of scandium or of
mixtures of these metals.",28.0,IV,18%
2091,2846.10.00,Cerium compounds,28.0,IV,18%
2092,2846.10.10,Cerium oxides,28.0,IV,18%
2093,2846.10.90,Other cerium compounds,28.0,IV,18%
2094,2846.90.00,"Inorganic or organic compounds of other rare-
earth metals, yttrium, scandium",28.0,IV,18%
2095,2846.90.10,"Reare earth oxides not elsewhere included or
specified",28.0,IV,18%
2096,2846.90.20,"Reare earth fluorides not elsewhere included
or specified",28.0,IV,18%
2097,2846.90.30,"Reare earth chlorides not elsewhere included
or specified",28.0,IV,18%
2098,2847.00.00,"Hydrogen peroxide, whether or not solidified
with urea",28.0,IV,18%
2099,2847.00.00,Medical grade Hydrogen peroxide,28.0,III,12%
2100,2848.00.00,"Phosphides, whether or not chemically
defined, excluding ferrophosphorus.",28.0,IV,18%
2101,2848.00.10,"Phosphides, whether or not chemically
defined of copper",28.0,IV,18%
2102,2848.00.20,"Phosphides, whether or not chemically
defined of zinc",28.0,IV,18%
2103,2848.00.90,"Phosphides, excluding ferrophosphorus: Other",28.0,IV,18%
2104,2848.10.00,"Phosphides of copper (containing more than
15% by weight of phosphorus)",28.0,IV,18%
2105,2848.90.00,Phosphides of other metals or of non-metals,28.0,IV,18%
2106,2849.00.00,"Carbides, whether or not chemically defined",28.0,IV,18%
2107,2849.10.00,Carbide of calcium,28.0,IV,18%
2108,2849.20.00,Carbide of silicon,28.0,IV,18%
2109,2849.90.00,Other carbides,28.0,IV,18%
2110,,,,,
2111,2850.00.00,"Hydrides, nitrides, azides, silicides and
borides, whether or not chemically defined,
other than compounds which are also carbides
of heading 2849.",28.0,IV,18%
2112,2851.00.00,"Other inorganic compounds (including distilled
or conductivity water and water of similar
purity); liquid air (whether or not rare gases
have been removed); compressed air;
amalgams, other than amalgams of precious
metals",28.0,"yet to
be
notifed",--
2113,2851.00.10,"Water - distilled water, medicinal water, ionic
water, battery water, de-mineralised water",28.0,"yet to
be
notifed",--
2114,2852.00.00,"Inorganic or organic compounds of mercury,
whether or not chemically defined, excluding
amalgams",28.0,IV,18%
2115,2853.00.00,Compressed air,28.0,II,5%
2116,2800.00.00,Anaesthetics,28.0,III,12%
2117,2800.00.00,"Micronutrients, which are coverd under serial
number 1(f) of Schedule I Part (A) of the
Fertilizer Control Order, 1985 and are
manufactured by the manufactureres which
are registered under the Fertilizer Control
Order, 1985.",28.0,III,12%
2118,2800.00.00,"Dicalcium phoshate (DCP) of animal fee grade
conforming to IS specification No. 5470:2002",28.0,III,12%
2119,2800.00.00,Steam,28.0,III,12%
2120,2800.00.00,Thorium oxalate,28.0,II,5%
2121,2800.00.00,"Enriched KBF4 (enriched potassium
fluroborate)",28.0,II,5%
2122,2800.00.00,Enriched elemental boron,28.0,II,5%
2123,2800.00.00,Nuclear fuel,28.0,II,5%
2124,2901.00.00,Acyclic hydrocarbons,29.0,IV,18%
2125,2901.10.00,Saturated acyclic hydrocarbons,29.0,IV,18%
2126,2901.21.00,Ethylene,29.0,IV,18%
2127,2901.22.00,Propene (propylene),29.0,IV,18%
2128,2901.23.00,Butene (butylene) and isomers thereof,29.0,IV,18%
2129,2901.24.00,"Buta-1, 3-diene and isoprene",29.0,IV,18%
2130,2901.29.10,Other unsaturated acyclic hydrocarbons,29.0,IV,18%
2131,2901.29.20,Heptene,29.0,IV,18%
2132,2902.00.00,Cyclic hydrocarbons,29.0,IV,18%
2133,2902.11.00,Cyclohexane,29.0,IV,18%
2134,2902.19.00,"Other cyclanes, cyclenes and cycloterpens
hydrocarbons",29.0,IV,18%
2135,2902.20.00,Benzene,29.0,IV,18%
2136,,,,,
2137,2902.30.00,Toluene,29.0,IV,18%
2138,2902.41.00,O-xylene,29.0,IV,18%
2139,2902.42.00,M-xylene,29.0,IV,18%
2140,2902.43.00,P-xylene,29.0,IV,18%
2141,2902.44.00,Mixed xylene isomers,29.0,IV,18%
2142,2902.50.00,Styrene,29.0,IV,18%
2143,2902.60.00,Ethylbenzene,29.0,IV,18%
2144,2902.70.00,Cumene,29.0,IV,18%
2145,2902.90.00,Other cyclic hydrocarbons,29.0,IV,18%
2146,2902.90.10,Dipentene,29.0,IV,18%
2147,2902.90.20,Dephenyl methane,29.0,IV,18%
2148,2902.90.30,"Dodecyclic benzenes (excluding mixed
alkylarenes)",29.0,IV,18%
2149,2902.90.40,Napthalene,29.0,IV,18%
2150,2902.90.50,Isobutyl benzene,29.0,IV,18%
2151,2902.90.90,Fenchone,29.0,IV,18%
2152,2902.90.90,Terpinolene,29.0,IV,18%
2153,2903.00.00,Halogenated derivatives of hydrocarbons,29.0,IV,18%
2154,2903.11.00,"Chloromethane (methly chloride),
chloroethane (ethyl chloride)",29.0,IV,18%
2155,2903.11.10,Chloromethane (methly chloride),29.0,IV,18%
2156,2903.11.20,Chloroethane (ethyl chloride),29.0,IV,18%
2157,2903.12.00,Dichloromethane (methylene chloride),29.0,IV,18%
2158,2903.13.00,Chloroform (trichloromethane),29.0,IV,18%
2159,2903.14.00,Carbon tetrachloride,29.0,IV,18%
2160,2903.15.00,Dichloroethane (ethylene dichloride)-1.2,29.0,IV,18%
2161,2903.16.00,"Dichloropropane 1, 2 (propylene dichloride);
dichlorobutanes",29.0,IV,18%
2162,2903.19.00,"Other saturated chlorinated derivatives of
acyclic hydrocarbons",29.0,IV,18%
2163,2903.19.10,Tetrachloroethane,29.0,IV,18%
2164,2903.19.20,Trichloroethane,29.0,IV,18%
2165,2903.21.00,Vinyl chloride (chloroethylene),29.0,IV,18%
2166,2903.22.00,Trichloroethylene,29.0,IV,18%
2167,2903.23.00,Tetrachloroethlyene (perchloroethylene),29.0,IV,18%
2168,2903.29.00,"Other unsaturated chlorinated derivatives of
acyclic hydrocarbons",29.0,IV,18%
2169,2903.30.00,"Fluorinated, brominated, iodinated derivatives
of acyclic hydrocarbons",29.0,IV,18%
2170,2903.30.10,Fluorinated derivatives of acyclic hydrocarbons,29.0,IV,18%
2171,2903.30.20,Brominated derivatives of acyclic hydrocarbons,29.0,IV,18%
2172,2903.30.30,Iodinated derivatives of acyclic hydrocarbons,29.0,IV,18%
2173,,,,,
2174,2903.40.00,"Halogenated derivatives of acyclic
hydrocarbons",29.0,IV,18%
2175,2903.41.00,Trichlorofluoromethane,29.0,IV,18%
2176,2903.42.00,Dichlorodifluoromethane,29.0,IV,18%
2177,2903.43.00,Trichlorofluoroethane,29.0,IV,18%
2178,2903.44.10,"Dichlorotetrafluoroethane 1,2",29.0,IV,18%
2179,2903.44.20,Chloropentafluoroethane,29.0,IV,18%
2180,2903.45.11,Chlorotrifluoro-methane,29.0,IV,18%
2181,2903.45.12,Pentachloro fluoroethane,29.0,IV,18%
2182,2903.45.13,Tetrachloro fluroethane,29.0,IV,18%
2183,2903.45.21,Heptachlorodi fluropropane,29.0,IV,18%
2184,2903.45.22,Hexachlorodi fluropropane,29.0,IV,18%
2185,2903.45.23,Pentachlorotri fluropropane,29.0,IV,18%
2186,2903.45.24,Tetrachloropetra fluropropane,29.0,IV,18%
2187,2903.45.25,Trichloropenta fluropropane,29.0,IV,18%
2188,2903.45.26,Dichlorohexa fluropropane,29.0,IV,18%
2189,2903.45.27,Chlorohepta fluropropane,29.0,IV,18%
2190,2903.46.10,Bromochlorodifluoro-methane,29.0,IV,18%
2191,2903.46.20,Bromotrifluoro-methane,29.0,IV,18%
2192,2903.46.30,Dibromotetra-fluoro-ethanes,29.0,IV,18%
2193,2903.47.00,"Other perhalogenated derivatives with
flouorine and chlorine",29.0,IV,18%
2194,2903.49.10,"Halogenated derivatives of methane, ethane,
or propene halogenated only with flouorine
and chlorine HCFC3",29.0,IV,18%
2195,2903.51.00,"Hexachlorocyclohexane-1, 2, 3, 4, 5, 6",29.0,IV,18%
2196,2903.59.00,"Other halogenated derivatives of cyclanic,
cyclenic, cycloterpenic hydrocarbons",29.0,IV,18%
2197,2903.60.00,"Halogenated derivatives of aromatic
hydrocarbons",29.0,IV,18%
2198,2903.61.00,"Chlorobenzene, o-dichlorobenzene, p-
dichlorobenzene",29.0,IV,18%
2199,2903.61.10,Chlorobenzene (mono chloro),29.0,IV,18%
2200,2903.61.20,Ortho-dichlorobenzene,29.0,IV,18%
2201,2903.61.30,Para-dichlorobenzene,29.0,IV,18%
2202,2903.62.00,"Hexachlorobenzene; ddt (1, 1, 1-trichloro-2, 2-
bis ethane)",29.0,IV,18%
2203,2903.62.10,Hexachlorobenzene other than indane,29.0,IV,18%
2204,2903.62.21,DDT-Technical 75 Wdp,29.0,IV,18%
2205,2903.62.29,"Hexachlorobenzene; ddt (1, 1, 1-trichloro-2, 2-
bis ethane): Other",29.0,IV,18%
2206,2903.69.00,"Other halogenated derivatives of aromatic
hydrocarbons",29.0,IV,18%
2207,2903.69.10,Chloro-fluorobenzene,29.0,IV,18%
